distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
1221.0,21.9,192.918,0.1135,Укрзалізниця,UA,UZ 181 L,Ivano-Frankivsk,Dnipro Holovny,1899-12-30T12:43:00.000Z,1899-12-30T09:25:00.000Z,NUIT
621.0,3.105,98.118,0.0316,SNCF Voyageurs SA,FR,JOUR_SNCF_9791,Bordeaux Saint-Jean,Paris Montparnasse,1899-12-30T14:05:00.000Z,1899-12-30T18:12:00.000Z,JOUR
803.0,13.1,126.874,0.1033,C.F.R. Călători S.A.,RO,CFR/MÁV IC 406,Brașov,Budapest Keleti,1899-12-30T18:51:00.000Z,1899-12-30T09:55:00.000Z,NUIT
1314.0,1.5,207.612,0.0072,Merresor AB,DE,ST 3920,Malmö C,Storlien,1899-12-30T16:35:00.000Z,1899-12-30T08:55:00.000Z,NUIT
578.0,19.074,91.244,0.209,PKP Intercity S.A.,PL,JOUR_PKP_1102,Warszawa Centralna,Gdansk Glowny,1899-12-30T08:20:00.000Z,1899-12-30T11:48:00.000Z,JOUR
1147.0,23.0,181.226,0.1269,Trenitalia S.p.A,IT,FS IC Notte 757,Torino Lingotto,Lecce,1899-12-30T20:58:00.000Z,1899-12-30T10:10:00.000Z,NUIT
489.0,10.0,77.262,0.1294,First Greater Western Ltd.,GB,GWR Sleeper (Penzance),London Paddington,Penzance,1899-12-30T23:45:00.000Z,1899-12-30T07:50:00.000Z,NUIT
1011.0,18.0,159.738,0.1127,ÖBB-Personenverkehr AG,AT,ÖBB NJ 470,Zürich HB,Hamburg Altona,1899-12-30T20:59:00.000Z,1899-12-30T08:09:00.000Z,NUIT
608.0,10.5,96.064,0.1093,České dráhy a.s.,CZ,ČD EN 40457,Praha hl.n.,Budapest Nyugati,1899-12-30T22:03:00.000Z,1899-12-30T08:29:00.000Z,NUIT
523.0,14.644,82.516,0.1775,TCDD Taşımacılık A.Ş.,TR,JOUR_TCDD_4411,Izmir Basmane,Ankara Gari,1899-12-30T15:00:00.000Z,1899-12-30T19:16:00.000Z,JOUR
1032.0,20.8,163.056,0.1276,Trenitalia S.p.A,IT,FS IC Notte 752,Lecce,Milano Centrale,1899-12-30T19:50:00.000Z,1899-12-30T07:12:00.000Z,NUIT
456.0,15.048,72.048,0.2089,PKP Intercity S.A.,PL,JOUR_PKP_3821,Krakow Glowny,Warszawa Centralna,1899-12-30T15:05:00.000Z,1899-12-30T18:25:00.000Z,JOUR
737.0,14.1,116.446,0.1211,Укрзалізниця,UA,UZ 012 Š,Odesa Holovna,Lviv,1899-12-30T19:46:00.000Z,1899-12-30T06:18:00.000Z,NUIT
1380.0,29.3,218.04,0.1344,Trenitalia S.p.A,IT,FS IC Notte 1962,Siracusa,Milano Centrale,1899-12-30T13:35:00.000Z,1899-12-30T10:10:00.000Z,NUIT
